ProductID,ProductName,Category,Subcategory,Brand,UnitCost,ListPrice
10001,VoltOne Accessorie 716,Electronics,Accessories,VoltOne,511.67,830.0
10002,UrbanWear Hoodie 153,Apparel,Hoodies,UrbanWear,7.36,20.0
10003,Mono Hoodie 112,Apparel,Hoodies,Mono,8.79,30.0
10004,HomeNest Kitchen 695,Home,Kitchen,HomeNest,82.16,130.0
10005,NordicLine Chair 610,Furniture,Chairs,NordicLine,236.17,395.0
10006,CasaPro Desk 389,Furniture,Desks,CasaPro,33.45,45.0
10007,Oak&Steel Desk 470,Furniture,Desks,Oak&Steel,256.61,365.0
10008,Skyline Accessorie 776,Electronics,Accessories,Skyline,783.34,1300.0
10009,UrbanWear T-Shirt 180,Apparel,T-Shirts,UrbanWear,7.95,25.0
10010,NordicLine Storage 981,Furniture,Storage,NordicLine,206.48,325.0
10011,HomeNest Kitchen 928,Home,Kitchen,HomeNest,25.08,45.0
10012,CasaPro Storage 458,Furniture,Storage,CasaPro,34.35,60.0
10013,ClassicCo Hoodie 102,Apparel,Hoodies,ClassicCo,11.81,45.0
10014,CookMate Decor 756,Home,Decor,CookMate,50.95,125.0
10015,NovaTech Laptop 509,Electronics,Laptops,NovaTech,293.1,415.0
10016,CookMate Kitchen 584,Home,Kitchen,CookMate,22.4,35.0
10017,HomeNest Kitchen 374,Home,Kitchen,HomeNest,53.94,90.0
10018,Mono T-Shirt 893,Apparel,T-Shirts,Mono,22.58,60.0
10019,HomeNest Kitchen 669,Home,Kitchen,HomeNest,16.23,30.0
10020,NordicLine Storage 327,Furniture,Storage,NordicLine,276.41,405.0
10021,CasaPro Desk 247,Furniture,Desks,CasaPro,119.09,170.0
10022,Mono T-Shirt 217,Apparel,T-Shirts,Mono,6.25,15.0
10023,Skyline Laptop 399,Electronics,Laptops,Skyline,1034.25,1415.0
10024,NovaTech Phone 566,Electronics,Phones,NovaTech,896.33,1220.0
10025,BrightLiving Kitchen 885,Home,Kitchen,BrightLiving,53.53,120.0
10026,UrbanWear Accessorie 748,Apparel,Accessories,UrbanWear,13.1,40.0
10027,ClassicCo Accessorie 920,Apparel,Accessories,ClassicCo,11.18,40.0
10028,HomeNest Decor 210,Home,Decor,HomeNest,15.67,35.0
10029,HomeNest Decor 755,Home,Decor,HomeNest,7.71,15.0
10030,HomeNest Kitchen 898,Home,Kitchen,HomeNest,17.23,40.0
10031,VoltOne Phone 532,Electronics,Phones,VoltOne,548.93,790.0
10032,Oak&Steel Desk 810,Furniture,Desks,Oak&Steel,95.98,130.0
10033,Skyline Accessorie 868,Electronics,Accessories,Skyline,573.48,810.0
10034,Mono Accessorie 845,Apparel,Accessories,Mono,22.68,80.0
10035,VoltOne Phone 494,Electronics,Phones,VoltOne,668.36,965.0
10036,Skyline Accessorie 820,Electronics,Accessories,Skyline,762.43,1130.0
10037,UrbanWear Hoodie 149,Apparel,Hoodies,UrbanWear,5.16,15.0
10038,Oak&Steel Storage 757,Furniture,Storage,Oak&Steel,224.2,350.0
10039,Skyline Accessorie 481,Electronics,Accessories,Skyline,255.66,375.0
10040,Oak&Steel Storage 657,Furniture,Storage,Oak&Steel,261.12,415.0
